"","mission","battle","collect_gather","fight","defeat","combat","shoot","strategy_tactics","explore","defend","rescue","move_special_move","discover_reveal","attack","adventure","solve","destroy_devastate_wreck","race","compete","fast"
"943037",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"943279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"943281",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"943282",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"943284",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"943339",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"943401",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"943566",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"943663",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"943666",0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"943724",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"943729",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943992",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944054",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"944073",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"944114",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"944198",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"944315",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944401",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"944412",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"944446",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"944521",0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"944602",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"944653",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944716",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"944795",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"944855",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"944975",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944984",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"945010",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"945044",0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0
"945095",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"945122",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"945135",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0
"945167",0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"945168",0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"945399",0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"945572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"945596",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"945855",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"945885",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"945947",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"945951",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"946123",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"946166",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"946172",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"946415",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"946499",0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"946847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"947081",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"949392",0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"950179",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"950572",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"950574",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"950901",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"950903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"950925",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"950926",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"950927",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"951184",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"951591",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"951686",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"951884",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
"952156",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"952259",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"952380",1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
"952602",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"952846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"953371",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"954021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"954090",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"954406",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"954469",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"954979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
